,comic_name,issue_title,publish_date,issue_description,penciler,writer,cover_artist,Price
74,Daredevil by Chip Zdarsky Vol. 5: Truth/Dare (2021),Daredevil by Chip Zdarsky Vol. 5: Truth/Dare (Trade Paperback),2021-02-17,,Francesco Mobili,Chip Zdarsky,nan,$17.99
75,Daredevil (2019 - 2021),Daredevil (2019) #27 (Variant),2021-02-10,,Mike Hawthorne,Chip Zdarsky,nan,$3.99
76,Daredevil (2019 - 2021),Daredevil (2019) #27,2021-02-10,,Mike Hawthorne,Chip Zdarsky,nan,$3.99
77,Daredevil (2019 - 2021),Daredevil (2019) #26,2021-01-27,,Mike Hawthorne,Chip Zdarsky,nan,$3.99
78,Daredevil (2019 - 2021),Daredevil (2019) #26 (Variant),2021-01-27,,Mike Hawthorne,Chip Zdarsky,nan,$3.99
80,Daredevil (2019 - 2021),Daredevil (2019) #25 (Variant),2020-12-02,,Marco Checchetto,Chip Zdarsky,nan,$3.99
82,Daredevil (2019 - 2021),Daredevil (2019) #25,2020-12-02,,Vc Clayton Cowles,Chip Zdarsky,nan,$3.99
83,Daredevil (2019 - 2021),Daredevil (2019) #24,2020-11-25,,Mike Hawthorne,Chip Zdarsky,nan,$3.99
84,Daredevil Epic Collection: Last Rites (2020),Daredevil Epic Collection: Last Rites (Trade Paperback),2020-11-18,,Ron Garney,Ann Nocenti,nan,$39.99
85,Daredevil: The Man Without Fear Marvel Select (2020),Daredevil: The Man Without Fear Marvel Select (Trade Paperback),2020-10-28,,John Romita Jr.,Frank Miller,nan,$24.99
86,Daredevil (2019 - 2021),Daredevil (2019) #23 (Variant),2020-10-21,,Marco Checchetto,Chip Zdarsky,nan,$3.99
87,Daredevil (2019 - 2021),Daredevil (2019) #23,2020-10-21,,Vc Clayton Cowles,Chip Zdarsky,nan,$3.99
88,Daredevil by Chip Zdarsky Vol. 4: End Of Hell (2020),Daredevil by Chip Zdarsky Vol. 4: End Of Hell (Trade Paperback),2020-09-30,,Jorge Fornes,Chip Zdarsky,nan,$15.99
89,Daredevil (2019 - 2021),Daredevil (2019) #22,2020-09-23,,Francesco Mobili,Chip Zdarsky,nan,$3.99
90,Daredevil Annual (2020),Daredevil Annual (2020) #1,2020-08-26,,Manuel Garcia,,nan,$4.99
91,Daredevil (2019 - 2021),Daredevil (2019) #21,2020-07-22,,Vc Clayton Cowles,Chip Zdarsky,nan,$3.99
92,Daredevil (2019 - 2021),Daredevil (2019) #20 (Variant),2020-06-10,,Marco Checchetto,Chip Zdarsky,nan,$3.99
93,Daredevil (2019 - 2021),Daredevil (2019) #20,2020-06-10,,Marco Checchetto,Chip Zdarsky,nan,$3.99
94,Daredevil By Chip Zdarsky Vol. 3: Through Hell (2020),Daredevil By Chip Zdarsky Vol. 3: Through Hell (Trade Paperback),2020-04-22,,,,nan,$15.99
95,Daredevil (2019 - 2021),Daredevil (2019) #19,2020-03-04,,Marco Checchetto,Chip Zdarsky,nan,$3.99
96,Daredevil (2019 - 2021),Daredevil (2019) #19 (Variant),2020-03-04,,Marco Checchetto,Chip Zdarsky,nan,$3.99
97,Daredevil (2019 - 2021),Daredevil (2019) #18 (Variant),2020-02-19,,Jorge Fornes,Chip Zdarsky,nan,$3.99
98,Daredevil (2019 - 2021),Daredevil (2019) #18,2020-02-19,,Jorge Fornes,Chip Zdarsky,nan,$3.99
99,Daredevil (2019 - 2021),Daredevil (2019) #17,2020-02-05,,Jorge Fornes,Chip Zdarsky,nan,$3.99
100,Daredevil (2019 - 2021),Daredevil (2019) #16,2020-01-01,,Jorge Fornes,Chip Zdarsky,nan,$3.99
101,Daredevil (2019 - 2021),Daredevil (2019) #16 (Variant),2020-01-01,,Jorge Fornes,Chip Zdarsky,nan,$3.99
102,Daredevil (2019 - 2021),Daredevil (2019) #15,2019-12-18,"As Mayor Fisk suffers an existential crisis, his city descends into chaos. Matt Murdock, on the other hand, has more conviction than ever – and stands poised to reprise his role as Hell’s Kitchen’s protector.",Francesco Mobili,Chip Zdarsky,nan,$3.99
103,Daredevil (2019 - 2021),Daredevil (2019) #15 (Variant),2019-12-18,,Francesco Mobili,Chip Zdarsky,nan,$3.99
104,Daredevil (2019 - 2021),Daredevil (2019) #14,2019-12-04,,Francesco Mobili,Chip Zdarsky,nan,$3.99
105,Daredevil (2019 - 2021),Daredevil (2019) #14 (Variant),2019-12-04,,Francesco Mobili,Chip Zdarsky,nan,$3.99
106,"Daredevil By Chip Zdarsky Vol. 2: No Devils, Only God (2019)","Daredevil By Chip Zdarsky Vol. 2: No Devils, Only God (Trade Paperback)",2019-12-04,,,,nan,$15.99
107,Daredevil (2019 - 2021),Daredevil (2019) #13 (Variant),2019-11-06,,Marco Checchetto,Chip Zdarsky,nan,$3.99
108,Daredevil (2019 - 2021),Daredevil (2019) #13,2019-11-06,,Marco Checchetto,Chip Zdarsky,nan,$3.99
109,Daredevil Epic Collection: A Woman Called Widow  (2019),Daredevil Epic Collection: A Woman Called Widow  (Trade Paperback),2019-10-23,,Barry Windsor-Smith,Roy Thomas,nan,$39.99
