,comic_name,issue_title,publish_date,issue_description,penciler,writer,cover_artist,Price
33,Daredevil: Woman Without Fear (2022),Daredevil: Woman Without Fear (2022) #2,2022-02-02,,Rafael De Latorre,Chip Zdarsky,,$3.99
34,Daredevil Epic Collection: Going Out West (2022),Daredevil Epic Collection: Going Out West (Trade Paperback),2022-01-26,,Syd Shores,Jim Starlin,,$44.99
35,Daredevil: Woman Without Fear (2022),Daredevil: Woman Without Fear (2022) #1 (Variant),2022-01-12,,Rafael De Latorre,Chip Zdarsky,,$4.99
36,Daredevil: Woman Without Fear (2022),Daredevil: Woman Without Fear (2022) #1,2022-01-12,,Rafael De Latorre,Chip Zdarsky,,$4.99
37,Daredevil: Woman Without Fear (2022),Daredevil: Woman Without Fear (2022) #1 (Variant),2022-01-12,,Rafael De Latorre,Chip Zdarsky,,$4.99
38,Daredevil: Woman Without Fear (2022),Daredevil: Woman Without Fear (2022) #1 (Variant),2022-01-12,,Rafael De Latorre,Chip Zdarsky,,$4.99
39,Daredevil by Chip Zdarsky Vol. 7: Lockdown (2022),Daredevil by Chip Zdarsky Vol. 7: Lockdown (Trade Paperback),2022-01-12,,Stefano Landini,Chip Zdarsky,,$17.99
40,Daredevil: Woman Without Fear (2022),Daredevil: Woman Without Fear (2022) #1 (Variant),2022-01-12,,Rafael De Latorre,Chip Zdarsky,,$4.99
41,Daredevil: Woman Without Fear (2022),Daredevil: Woman Without Fear (2022) #1 (Variant),2022-01-12,,Rafael De Latorre,Chip Zdarsky,,$4.99
42,Daredevil Epic Collection: Dead Man's Hand (2021),Daredevil Epic Collection: Dead Man's Hand (Trade Paperback),2021-12-29,,John Hebert,Fabian Nicieza,,$44.99
43,Daredevil (2019 - 2021),Daredevil (2019) #36 (Variant),2021-12-01,,Manuel Garcia,Chip Zdarsky,,$4.99
44,Daredevil (2019 - 2021),Daredevil (2019) #36,2021-12-01,,Manuel Garcia,Chip Zdarsky,,$4.99
45,Daredevil (2019 - 2021),Daredevil (2019) #36 (Variant),2021-12-01,,Manuel Garcia,Chip Zdarsky,,$4.99
46,Daredevil (2019 - 2021),Daredevil (2019) #35,2021-10-27,,Francesco Mobili,Chip Zdarsky,,$3.99
47,Daredevil (2019 - 2021),Daredevil (2019) #35 (Variant),2021-10-27,,Stefano Landini,Chip Zdarsky,,$3.99
48,Daredevil By Chip Zdarsky Vol. 6: Doing Time (2021),Daredevil By Chip Zdarsky Vol. 6: Doing Time (Trade Paperback),2021-09-22,,Mike Hawthorne,Chip Zdarsky,,$15.99
49,Daredevil (2019 - 2021),Daredevil (2019) #34 (Variant),2021-09-08,,Stefano Landini,Chip Zdarsky,,$3.99
50,Daredevil (2019 - 2021),Daredevil (2019) #34,2021-09-08,,Stefano Landini,Chip Zdarsky,,$3.99
51,Daredevil (2019 - 2021),Daredevil (2019) #34 (Variant),2021-09-08,,Stefano Landini,Chip Zdarsky,,$3.99
52,Daredevil (2019 - 2021),Daredevil (2019) #33 (Variant),2021-08-11,,Marco Checchetto,Chip Zdarsky,,$3.99
53,Daredevil (2019 - 2021),Daredevil (2019) #33,2021-08-11,,Vc Clayton Cowles,Chip Zdarsky,,$3.99
54,Daredevil (2019 - 2021),Daredevil (2019) #32 (Variant),2021-07-28,,Mike Hawthorne,Chip Zdarsky,,$3.99
55,Daredevil (2019 - 2021),Daredevil (2019) #32,2021-07-28,,Mike Hawthorne,Chip Zdarsky,,$3.99
56,Daredevil (2019 - 2021),Daredevil (2019) #31 (Variant),2021-06-30,,Mike Hawthorne,Chip Zdarsky,,$3.99
57,Daredevil (2019 - 2021),Daredevil (2019) #31,2021-06-30,,Mike Hawthorne,Chip Zdarsky,,$3.99
58,Daredevil (2019 - 2021),Daredevil (2019) #30,2021-05-19,,Mike Hawthorne,Chip Zdarsky,,$3.99
59,Daredevil (2019 - 2021),Daredevil (2019) #29 (Variant),2021-04-14,,Marco Checchetto,Chip Zdarsky,,$3.99
60,Daredevil (2019 - 2021),Daredevil (2019) #29,2021-04-14,,Vc Clayton Cowles,Chip Zdarsky,,$3.99
61,Daredevil by Chip Zdarsky: To Heaven Through Hell Vol. 1 (2021),Daredevil by Chip Zdarsky: To Heaven Through Hell Vol. 1 (Trade Paperback),2021-03-17,,Marco Checchetto,Chip Zdarsky,,$34.99
62,Daredevil (2019 - 2021),Daredevil (2019) #28,2021-03-10,,Vc Clayton Cowles,Chip Zdarsky,,$3.99
63,Daredevil (2019 - 2021),Daredevil (2019) #28 (Variant),2021-03-10,,Marco Checchetto,Chip Zdarsky,,$3.99
64,Daredevil by Chip Zdarsky Vol. 5: Truth/Dare (2021),Daredevil by Chip Zdarsky Vol. 5: Truth/Dare (Trade Paperback),2021-02-17,,Francesco Mobili,Chip Zdarsky,,$17.99
65,Daredevil (2019 - 2021),Daredevil (2019) #27 (Variant),2021-02-10,,Mike Hawthorne,Chip Zdarsky,,$3.99
66,Daredevil (2019 - 2021),Daredevil (2019) #27,2021-02-10,,Mike Hawthorne,Chip Zdarsky,,$3.99
67,Daredevil (2019 - 2021),Daredevil (2019) #26,2021-01-27,,Mike Hawthorne,Chip Zdarsky,,$3.99
68,Daredevil (2019 - 2021),Daredevil (2019) #26 (Variant),2021-01-27,,Mike Hawthorne,Chip Zdarsky,,$3.99
69,Daredevil (2019 - 2021),Daredevil (2019) #26 (Variant),2021-01-27,,Mike Hawthorne,Chip Zdarsky,,$3.99
70,Daredevil (2019 - 2021),Daredevil (2019) #25 (Variant),2020-12-02,,Marco Checchetto,Chip Zdarsky,,$3.99
71,Daredevil (2019 - 2021),Daredevil (2019) #25,2020-12-02,,Vc Clayton Cowles,Chip Zdarsky,,$3.99
72,Daredevil (2019 - 2021),Daredevil (2019) #25 (Variant),2020-12-02,,Marco Checchetto,Chip Zdarsky,,$3.99
73,Daredevil (2019 - 2021),Daredevil (2019) #24,2020-11-25,,Mike Hawthorne,Chip Zdarsky,,$3.99
74,Daredevil Epic Collection: Last Rites (2020),Daredevil Epic Collection: Last Rites (Trade Paperback),2020-11-18,,Ron Garney,Ann Nocenti,,$39.99
75,Daredevil: The Man Without Fear Marvel Select (2020),Daredevil: The Man Without Fear Marvel Select (Trade Paperback),2020-10-28,,John Romita Jr.,Frank Miller,,$24.99
76,Daredevil (2019 - 2021),Daredevil (2019) #23 (Variant),2020-10-21,,Marco Checchetto,Chip Zdarsky,,$3.99
77,Daredevil (2019 - 2021),Daredevil (2019) #23,2020-10-21,,Vc Clayton Cowles,Chip Zdarsky,,$3.99
78,Daredevil by Chip Zdarsky Vol. 4: End Of Hell (2020),Daredevil by Chip Zdarsky Vol. 4: End Of Hell (Trade Paperback),2020-09-30,,Jorge Fornes,Chip Zdarsky,,$15.99
79,Daredevil (2019 - 2021),Daredevil (2019) #22,2020-09-23,,Francesco Mobili,Chip Zdarsky,,$3.99
80,Daredevil Annual (2020),Daredevil Annual (2020) #1,2020-08-26,,Manuel Garcia,,,$4.99
81,Daredevil (2019 - 2021),Daredevil (2019) #21,2020-07-22,,Vc Clayton Cowles,Chip Zdarsky,,$3.99
82,Daredevil (2019 - 2021),Daredevil (2019) #20 (Variant),2020-06-10,,Marco Checchetto,Chip Zdarsky,,$3.99
83,Daredevil (2019 - 2021),Daredevil (2019) #20,2020-06-10,,Marco Checchetto,Chip Zdarsky,,$3.99
84,Daredevil By Chip Zdarsky Vol. 3: Through Hell (2020),Daredevil By Chip Zdarsky Vol. 3: Through Hell (Trade Paperback),2020-04-22,,,,,$15.99
