,description,writer,cover artist,penciler,comic_name,issue_title,publish_date,Price
48,,Chip Zdarsky,,Mike Hawthorne,Daredevil By Chip Zdarsky Vol. 6: Doing Time (2021),Daredevil By Chip Zdarsky Vol. 6: Doing Time (Trade Paperback),2021-09-22T00:00:00-0400,15.99
49,,Chip Zdarsky,David Lopez,Stefano Landini,Daredevil (2019 - 2021),Daredevil (2019) #34 (Variant),2021-09-08T00:00:00-0400,3.99
50,,Chip Zdarsky,Matthew Wilson,Stefano Landini,Daredevil (2019 - 2021),Daredevil (2019) #34,2021-09-08T00:00:00-0400,3.99
51,,Chip Zdarsky,Rob Liefeld,Stefano Landini,Daredevil (2019 - 2021),Daredevil (2019) #34 (Variant),2021-09-08T00:00:00-0400,3.99
52,,Chip Zdarsky,,Marco Checchetto,Daredevil (2019 - 2021),Daredevil (2019) #33 (Variant),2021-08-11T00:00:00-0400,3.99
53,,Chip Zdarsky,Matthew Wilson,Vc Clayton Cowles,Daredevil (2019 - 2021),Daredevil (2019) #33,2021-08-11T00:00:00-0400,3.99
54,,Chip Zdarsky,,Mike Hawthorne,Daredevil (2019 - 2021),Daredevil (2019) #32 (Variant),2021-07-28T00:00:00-0400,3.99
55,,Chip Zdarsky,Matthew Wilson,Mike Hawthorne,Daredevil (2019 - 2021),Daredevil (2019) #32,2021-07-28T00:00:00-0400,3.99
56,,Chip Zdarsky,Frank D'ARMATA,Mike Hawthorne,Daredevil (2019 - 2021),Daredevil (2019) #31 (Variant),2021-06-30T00:00:00-0400,3.99
57,,Chip Zdarsky,Matthew Wilson,Mike Hawthorne,Daredevil (2019 - 2021),Daredevil (2019) #31,2021-06-30T00:00:00-0400,3.99
58,,Chip Zdarsky,Matthew Wilson,Mike Hawthorne,Daredevil (2019 - 2021),Daredevil (2019) #30,2021-05-19T00:00:00-0400,3.99
59,,Chip Zdarsky,Rachelle Rosenberg,Marco Checchetto,Daredevil (2019 - 2021),Daredevil (2019) #29 (Variant),2021-04-14T00:00:00-0400,3.99
60,,Chip Zdarsky,Matthew Wilson,Vc Clayton Cowles,Daredevil (2019 - 2021),Daredevil (2019) #29,2021-04-14T00:00:00-0400,3.99
61,,Chip Zdarsky,,Marco Checchetto,Daredevil by Chip Zdarsky: To Heaven Through Hell Vol. 1 (2021),Daredevil by Chip Zdarsky: To Heaven Through Hell Vol. 1 (Trade Paperback),2021-03-17T00:00:00-0400,34.99
62,,Chip Zdarsky,Matthew Wilson,Vc Clayton Cowles,Daredevil (2019 - 2021),Daredevil (2019) #28,2021-03-10T00:00:00-0500,3.99
63,,Chip Zdarsky,Neeraj Menon,Marco Checchetto,Daredevil (2019 - 2021),Daredevil (2019) #28 (Variant),2021-03-10T00:00:00-0500,3.99
64,,Chip Zdarsky,,Francesco Mobili,Daredevil by Chip Zdarsky Vol. 5: Truth/Dare (2021),Daredevil by Chip Zdarsky Vol. 5: Truth/Dare (Trade Paperback),2021-02-17T00:00:00-0500,17.99
65,,Chip Zdarsky,David Curiel,Mike Hawthorne,Daredevil (2019 - 2021),Daredevil (2019) #27 (Variant),2021-02-10T00:00:00-0500,3.99
66,,Chip Zdarsky,Matthew Wilson,Mike Hawthorne,Daredevil (2019 - 2021),Daredevil (2019) #27,2021-02-10T00:00:00-0500,3.99
67,,Chip Zdarsky,Matthew Wilson,Mike Hawthorne,Daredevil (2019 - 2021),Daredevil (2019) #26,2021-01-27T00:00:00-0500,3.99
68,,Chip Zdarsky,,Mike Hawthorne,Daredevil (2019 - 2021),Daredevil (2019) #26 (Variant),2021-01-27T00:00:00-0500,3.99
69,,Chip Zdarsky,,Mike Hawthorne,Daredevil (2019 - 2021),Daredevil (2019) #26 (Variant),2021-01-27T00:00:00-0500,3.99
70,,Chip Zdarsky,Frank D'ARMATA,Marco Checchetto,Daredevil (2019 - 2021),Daredevil (2019) #25 (Variant),2020-12-02T00:00:00-0500,3.99
71,,Chip Zdarsky,Matthew Wilson,Vc Clayton Cowles,Daredevil (2019 - 2021),Daredevil (2019) #25,2020-12-02T00:00:00-0500,3.99
72,,Chip Zdarsky,Nolan Woodard,Marco Checchetto,Daredevil (2019 - 2021),Daredevil (2019) #25 (Variant),2020-12-02T00:00:00-0500,3.99
73,,Chip Zdarsky,Matthew Wilson,Mike Hawthorne,Daredevil (2019 - 2021),Daredevil (2019) #24,2020-11-25T00:00:00-0500,3.99
74,,Ann Nocenti,Vero Gandini,Ron Garney,Daredevil Epic Collection: Last Rites (2020),Daredevil Epic Collection: Last Rites (Trade Paperback),2020-11-18T00:00:00-0500,39.99
75,,Frank Miller,,John Romita Jr.,Daredevil: The Man Without Fear Marvel Select (2020),Daredevil: The Man Without Fear Marvel Select (Trade Paperback),2020-10-28T00:00:00-0400,24.99
76,,Chip Zdarsky,,Marco Checchetto,Daredevil (2019 - 2021),Daredevil (2019) #23 (Variant),2020-10-21T00:00:00-0400,3.99
77,,Chip Zdarsky,Matthew Wilson,Vc Clayton Cowles,Daredevil (2019 - 2021),Daredevil (2019) #23,2020-10-21T00:00:00-0400,3.99
78,,Chip Zdarsky,,Jorge Fornes,Daredevil by Chip Zdarsky Vol. 4: End Of Hell (2020),Daredevil by Chip Zdarsky Vol. 4: End Of Hell (Trade Paperback),2020-09-30T00:00:00-0400,15.99
79,,Chip Zdarsky,Nolan Woodard,Francesco Mobili,Daredevil (2019 - 2021),Daredevil (2019) #22,2020-09-23T00:00:00-0400,3.99
80,,,Chip Zdarsky,Manuel Garcia,Daredevil Annual (2020),Daredevil Annual (2020) #1,2020-08-26T00:00:00-0400,4.99
81,,Chip Zdarsky,Erick Arciniega,Vc Clayton Cowles,Daredevil (2019 - 2021),Daredevil (2019) #21,2020-07-22T00:00:00-0400,3.99
82,,Chip Zdarsky,David Curiel,Marco Checchetto,Daredevil (2019 - 2021),Daredevil (2019) #20 (Variant),2020-06-10T00:00:00-0400,3.99
83,,Chip Zdarsky,Julian Totino Tedesco,Marco Checchetto,Daredevil (2019 - 2021),Daredevil (2019) #20,2020-06-10T00:00:00-0400,3.99
84,,,,,Daredevil By Chip Zdarsky Vol. 3: Through Hell (2020),Daredevil By Chip Zdarsky Vol. 3: Through Hell (Trade Paperback),2020-04-22T00:00:00-0400,15.99
85,,Chip Zdarsky,Julian Totino Tedesco,Marco Checchetto,Daredevil (2019 - 2021),Daredevil (2019) #19,2020-03-04T00:00:00-0500,3.99
86,,Chip Zdarsky,Mike Del Mundo,Marco Checchetto,Daredevil (2019 - 2021),Daredevil (2019) #19 (Variant),2020-03-04T00:00:00-0500,3.99
87,,Chip Zdarsky,Paolo Rivera,Jorge Fornes,Daredevil (2019 - 2021),Daredevil (2019) #18 (Variant),2020-02-19T00:00:00-0500,3.99
88,,Chip Zdarsky,Julian Totino Tedesco,Jorge Fornes,Daredevil (2019 - 2021),Daredevil (2019) #18,2020-02-19T00:00:00-0500,3.99
89,,Chip Zdarsky,Julian Totino Tedesco,Jorge Fornes,Daredevil (2019 - 2021),Daredevil (2019) #17,2020-02-05T00:00:00-0500,3.99
90,,Chip Zdarsky,Julian Totino Tedesco,Jorge Fornes,Daredevil (2019 - 2021),Daredevil (2019) #16,2020-01-01T00:00:00-0500,3.99
91,,Chip Zdarsky,David Curiel,Jorge Fornes,Daredevil (2019 - 2021),Daredevil (2019) #16 (Variant),2020-01-01T00:00:00-0500,3.99
92,,Chip Zdarsky,Julian Totino Tedesco,Francesco Mobili,Daredevil (2019 - 2021),Daredevil (2019) #15,2019-12-18T00:00:00-0500,3.99
93,,Chip Zdarsky,Ryan Brown,Francesco Mobili,Daredevil (2019 - 2021),Daredevil (2019) #15 (Variant),2019-12-18T00:00:00-0500,3.99
94,,Chip Zdarsky,Julian Totino Tedesco,Francesco Mobili,Daredevil (2019 - 2021),Daredevil (2019) #14,2019-12-04T00:00:00-0500,3.99
95,,Chip Zdarsky,S SKAN,Francesco Mobili,Daredevil (2019 - 2021),Daredevil (2019) #14 (Variant),2019-12-04T00:00:00-0500,3.99
96,,,,,"Daredevil By Chip Zdarsky Vol. 2: No Devils, Only God (2019)","Daredevil By Chip Zdarsky Vol. 2: No Devils, Only God (Trade Paperback)",2019-12-04T00:00:00-0500,15.99
97,,Chip Zdarsky,Declan Shalvey,Marco Checchetto,Daredevil (2019 - 2021),Daredevil (2019) #13 (Variant),2019-11-06T00:00:00-0500,3.99
98,,Chip Zdarsky,Julian Totino Tedesco,Marco Checchetto,Daredevil (2019 - 2021),Daredevil (2019) #13,2019-11-06T00:00:00-0500,3.99
99,,Roy Thomas,Paul Mounts,Barry Windsor-Smith,Daredevil Epic Collection: A Woman Called Widow  (2019),Daredevil Epic Collection: A Woman Called Widow  (Trade Paperback),2019-10-23T00:00:00-0400,39.99
